Year,Regional Host,Game Number,Home Team,Visiting Team,Home Score,Visiting Score,Innings
2015,Florida,1,Hofstra,Fla. Atlantic,1,0,7
2015,Florida,2,Florida,Florida A&M,6,0,7
2015,Florida,3,Florida,Hofstra,7,0,7
2015,Florida,4,Fla. Atlantic,Florida A&M,7,2,7
2015,Florida,5,Fla. Atlantic,Hofstra,3,2,9
2015,Florida,6,Fla. Atlantic,Florida,0,1,8
2015,Oregon,1,North Dakota St.,Fresno St.,4,0,7
2015,Oregon,2,Oregon,BYU,8,0,6
2015,Oregon,3,Oregon,North Dakota St.,4,3,7
2015,Oregon,4,Fresno St.,BYU,7,8,7
2015,Oregon,5,BYU,North Dakota St.,0,7,7
2015,Oregon,6,North Dakota St.,Oregon,1,6,7
2015,Auburn,1,South Alabama,Chattanooga,11,1,5
2015,Auburn,2,Auburn,Tennessee Tech,4,1,7
2015,Auburn,3,Auburn,South Alabama,1,0,7
2015,Auburn,4,Chattanooga,Tennessee Tech,2,8,7
2015,Auburn,5,Tennessee Tech,South Alabama,3,9,7
2015,Auburn,6,South Alabama,Auburn,4,7,7
2015,Michigan,1,California,Pittsburgh,11,3,5
2015,Michigan,2,Michigan,Oakland,9,1,6
2015,Michigan,3,Michigan,California,9,1,6
2015,Michigan,4,Pittsburgh,Oakland,6,3,7
2015,Michigan,5,Pittsburgh,California,6,3,7
2015,Michigan,6,Pittsburgh,Michigan,3,10,7
2015,LSU,1,Arizona St.,Nebraska,5,2,7
2015,LSU,2,LSU,Texas Southern,15,0,5
2015,LSU,3,LSU,Arizona St.,0,1,7
2015,LSU,4,Nebraska,Texas Southern,5,0,7
2015,LSU,5,Nebraska,LSU,2,3,10
2015,LSU,6,Arizona St.,LSU,0,5,7
2015,LSU,7,LSU,Arizona St.,4,3,9
2015,Alabama,1,Washington,USC Upstate,4,1,7
2015,Alabama,2,Alabama,Fairfield,8,0,6
2015,Alabama,3,Alabama,Washington,9,0,5
2015,Alabama,4,USC Upstate,Fairfield,9,0,6
2015,Alabama,5,Washington,USC Upstate,9,1,5
2015,Alabama,6,Washington,Alabama,1,11,7
2015,UCLA,1,Texas,San Diego St.,8,3,7
2015,UCLA,2,UCLA,CSUN,9,1,5
2015,UCLA,3,UCLA,Texas,4,1,7
2015,UCLA,4,San Diego St.,CSUN,5,4,7
2015,UCLA,5,San Diego St.,Texas,4,3,9
2015,UCLA,6,San Diego St.,UCLA,0,8,6
2015,Tennessee,1,Utah,Virginia Tech,6,1,7
2015,Tennessee,2,Tennessee,Longwood,2,0,7
2015,Tennessee,3,Tennessee,Utah,9,1,5
2015,Tennessee,4,Virginia Tech,Longwood,4,6,8
2015,Tennessee,5,Longwood,Utah,0,2,7
2015,Tennessee,6,Utah,Tennessee,1,3,7
2015,Florida St.,1,UCF,South Carolina,4,1,7
2015,Florida St.,2,Florida St.,Dartmouth,5,1,7
2015,Florida St.,3,Florida St.,UCF,2,1,7
2015,Florida St.,4,South Carolina,Dartmouth,3,1,7
2015,Florida St.,5,South Carolina,UCF,2,5,7
2015,Florida St.,6,UCF,Florida St.,0,5,7
2015,Missouri,1,Kansas,Louisville,1,0,7
2015,Missouri,2,Missouri,Indiana St.,7,0,7
2015,Missouri,3,Missouri,Kansas,5,3,7
2015,Missouri,4,Louisville,Indiana St.,1,2,8
2015,Missouri,5,Indiana St.,Kansas,0,2,7
2015,Missouri,6,Kansas,Missouri,6,7,7
2015,Oklahoma,1,Texas A&M,Lehigh,2,1,7
2015,Oklahoma,2,Oklahoma,Central Ark.,8,0,5
2015,Oklahoma,3,Oklahoma,Texas A&M,7,5,7
2015,Oklahoma,4,Lehigh,Central Ark.,3,0,7
2015,Oklahoma,5,Texas A&M,Lehigh,5,0,7
2015,Oklahoma,6,Texas A&M,Oklahoma,0,2,7
2015,Arizona,1,Minnesota,New Mexico St.,10,2,6
2015,Arizona,2,Arizona,St. John's (NY),4,2,7
2015,Arizona,3,Arizona,Minnesota,5,1,7
2015,Arizona,4,New Mexico St.,St. John's (NY),9,6,7
2015,Arizona,5,New Mexico St.,Minnesota,0,2,7
2015,Arizona,6,Minnesota,Arizona,5,2,7
2015,Arizona,7,Arizona,Minnesota,7,6,8
2015,Louisiana,1,Baylor,Mississippi St.,8,4,7
2015,Louisiana,2,Louisiana,Weber St.,11,0,5
2015,Louisiana,3,Louisiana,Baylor,3,1,7
2015,Louisiana,4,Mississippi St.,Weber St.,2,0,7
2015,Louisiana,5,Mississippi St.,Baylor,0,2,7
2015,Louisiana,6,Baylor,Louisiana,6,2,7
2015,Louisiana,7,Louisiana,Baylor,9,1,6
2015,Georgia,1,North Carolina,Northwestern,1,2,7
2015,Georgia,2,Georgia,Central Conn. St.,6,1,7
2015,Georgia,3,Western Ky.,Georgia,2,1,14
2015,Georgia,4,Central Conn. St.,North Carolina,0,8,5
2015,Georgia,5,Georgia,North Carolina,6,5,7
2015,Georgia,6,Western Ky.,Georgia,3,12,5
2015,Georgia,7,Georgia,Western Ky.,17,0,5
2015,James Madison,1,NC State,Fordham,12,5,7
2015,James Madison,2,James Madison,Binghamton,9,1,5
2015,James Madison,3,James Madison,NC State,0,2,7
2015,James Madison,4,Fordham,Binghamton,8,0,5
2015,James Madison,5,Fordham,James Madison,2,1,7
