Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
A&M-Corpus Christi,48,18,30,0,1189,271,31,1,8,107,23,10,,,,,312.2,204,154,3.45,,938,384,53,9,No,No,Southland,1,0
Abilene Christian,47,26,21,0,1281,347,61,14,40,229,50,8,101,38,6,37,319.2,211,163,3.57,38,956,347,51,13,No,No,Southland,1,0
Akron,56,30,25,1,1414,387,72,10,19,196,118,31,,,,,375,183,132,2.46,18,1125,551,68,15,No,No,MAC,1,0
Alabama,58,46,12,0,1467,458,82,14,52,372,88,12,224,20,14,42,365.1,148,128,2.45,,1096,282,41,8,At-large,Yes,SEC,11,8
Alabama A&M,47,12,35,0,1173,283,57,5,28,197,35,6,,,,,284.2,349,300,7.38,7,854,326,73,8,No,No,SWAC,1,0
Alabama St.,53,28,25,0,1460,478,91,12,38,296,50,16,,,,,346.1,268,211,4.26,,1039,462,79,21,Auto,No,SWAC,1,0
Albany (NY),52,34,18,0,1353,427,78,15,43,310,35,15,184,58,15,25,328.1,256,214,4.56,,985,323,60,10,No,No,America East,1,0
Alcorn,46,18,28,0,1163,317,46,7,14,173,10,5,,,,,280,284,232,5.8,,840,250,71,12,No,No,SWAC,1,0
Appalachian St.,56,11,45,0,1414,371,59,3,47,231,11,4,,,,,340.1,455,378,7.77,,1021,433,77,11,No,No,Sun Belt,2,1
Arizona,55,36,19,0,1408,420,58,8,66,315,36,10,,,,,351.1,178,137,2.73,,1054,412,58,16,At-large,No,Pac-12,8,3
Arizona St.,54,30,24,0,1443,464,61,6,62,302,49,11,,,,,355.2,219,196,3.86,,1067,343,43,19,At-large,No,Pac-12,8,3
Ark.-Pine Bluff,51,15,36,0,1290,363,52,9,17,243,37,5,,,,,298,386,277,6.51,,894,361,109,14,No,No,SWAC,1,0
Arkansas,56,17,39,0,1409,367,52,6,49,219,20,4,,,,,346,411,345,6.98,,1037,518,71,25,No,No,SEC,11,8
Army West Point,59,39,20,0,1636,501,63,6,12,281,89,24,,,,,396.2,189,148,2.61,,1190,635,76,16,No,No,Patriot,1,0
Auburn,58,49,9,0,1566,521,83,12,78,485,32,5,304,51,18,13,372,143,117,2.2,18,1116,496,51,32,Auto,Yes,SEC,11,8
Austin Peay,47,9,38,0,1238,308,55,3,29,152,7,5,,,,,303.2,295,238,5.49,,911,392,72,19,No,No,OVC,1,0
Ball St.,54,22,32,0,1337,348,65,7,37,201,47,15,,,,,335.2,289,246,5.13,,1007,458,65,20,No,No,MAC,1,0
Baylor,55,43,12,0,1495,485,83,9,56,322,76,28,,,,,366.2,146,125,2.39,,1100,359,41,16,At-large,No,Big 12,4,1
Belmont,54,19,35,0,1382,363,60,9,28,200,35,12,,,,,341,264,216,4.43,,1023,342,59,14,No,No,OVC,1,0
Bethune-Cookman,53,21,32,0,1353,360,46,9,12,210,87,19,,,,,336.1,262,202,4.2,,1009,379,58,12,No,No,MEAC,1,0
Binghamton,49,34,15,0,1320,460,70,15,45,347,70,19,164,26,27,22,306.2,213,175,3.99,,920,440,65,22,No,No,America East,1,0
Boise St.,52,14,38,0,1365,389,52,7,50,249,43,15,,,,,324.2,392,324,6.99,,974,429,73,29,No,No,MWC,1,0
Boston College,53,30,23,0,1436,412,67,5,33,232,57,20,,,,,355.2,178,147,2.89,,1067,451,55,23,No,No,ACC,4,1
Boston U.,50,28,22,0,1386,418,44,10,9,230,60,13,,,,,330,155,126,2.67,,988,348,38,9,Auto,No,Patriot,1,0
Bowling Green,54,18,36,0,1426,361,58,6,24,202,22,5,,,,,348.2,299,235,4.72,,1046,399,67,10,No,No,MAC,1,0
Bradley,48,18,30,0,1323,391,71,11,36,225,37,9,,,,,310,296,239,5.4,,930,364,60,18,No,No,MVC,1,0
Brown,41,18,23,0,1136,335,67,4,13,159,20,8,,,,,270.1,168,124,3.21,,811,403,56,6,No,No,Ivy,1,0
Bryant,48,12,36,0,1169,244,44,2,14,113,27,9,,,,,305.2,242,217,4.97,,917,379,49,10,No,No,Northeast,1,0
Bucknell,50,27,23,0,1366,397,68,9,14,210,56,10,,,,,329,153,131,2.79,,987,390,44,8,No,No,Patriot,1,0
Buffalo,54,17,37,0,1453,383,58,15,36,223,47,9,,,,,350.1,299,236,4.72,,1051,434,76,9,No,No,MAC,1,0
Butler,50,28,22,0,1283,327,54,14,18,214,69,14,,,,,330.2,203,171,3.62,,992,325,53,13,Auto,No,Big East,1,0
BYU,54,35,19,0,1425,423,67,12,56,277,34,9,,,,,360.1,204,155,3.01,14,1081,350,60,14,Auto,No,WCC,1,0
Cal Poly,50,27,23,0,1259,342,59,10,9,156,18,11,,,,,334,148,116,2.43,,1002,372,52,16,No,No,Big West,2,0
Cal St. Fullerton,57,43,14,0,1502,454,88,12,31,294,84,19,,,,,383,144,119,2.17,,1149,470,51,19,Auto,No,Big West,2,0
California,54,31,22,1,1482,450,43,15,29,249,64,12,,,,,357.2,194,153,2.99,,1073,335,57,17,At-large,No,Pac-12,8,3
Campbell,59,28,31,0,1563,461,74,5,56,286,67,12,,,,,382.2,312,248,4.54,,1148,511,75,24,No,No,Big South,1,0
Canisius,55,23,32,0,1412,390,70,11,25,204,86,23,,,,,360,257,194,3.77,,1080,459,79,16,No,No,MAAC,1,0
Central Ark.,57,35,22,0,1411,343,80,6,33,232,49,15,,,,,379.2,222,163,3.01,,1138,635,66,18,No,No,Southland,1,0
Central Conn. St.,45,18,26,1,1186,308,66,7,20,166,29,8,,,,,296,206,178,4.21,,888,375,39,24,No,No,Northeast,1,0
Central Mich.,52,24,27,1,1341,378,64,6,32,187,55,16,,,,,332.1,205,156,3.29,,997,357,53,11,No,No,MAC,1,0
Charleston So.,56,22,34,0,1467,400,61,5,45,226,69,17,,,,,371,263,217,4.09,,1113,449,55,18,No,No,Big South,1,0
Charlotte,55,32,23,0,1453,427,61,10,18,247,60,13,,,,,367,185,153,2.92,,1100,328,56,10,No,No,C-USA,1,0
Chattanooga,59,30,29,0,1572,460,75,2,42,270,10,6,,,,,390,275,218,3.91,18,1170,517,79,12,No,No,Southern,1,0
Cleveland St.,53,21,32,0,1431,390,67,5,40,242,31,20,,,,,356,266,208,4.09,12,1068,485,82,13,No,No,Horizon,1,0
Coastal Caro.,59,37,22,0,1612,532,61,7,83,350,62,3,206,23,8,18,382.1,253,218,3.99,,1147,424,54,18,No,No,Big South,1,0
Col. of Charleston,58,35,23,0,1546,442,80,8,26,240,70,13,,,,,390.1,191,165,2.96,,1169,429,44,20,No,No,CAA,1,1
Colgate,41,12,29,0,1018,226,43,2,15,99,28,4,,,,,267.1,203,152,3.98,,802,374,68,11,No,No,Patriot,1,0
Colorado St.,46,22,24,0,1268,376,79,9,40,261,41,6,,,,,308,247,201,4.57,18,924,443,67,20,No,No,MWC,1,0
Columbia,48,16,32,0,1269,331,57,6,33,158,21,14,,,,,323,264,219,4.75,17,969,357,54,10,No,No,Ivy,1,0
Coppin St.,36,5,31,0,909,260,44,9,11,137,29,4,,,,,211,334,282,9.36,,635,247,60,17,No,No,MEAC,1,0
Cornell,41,9,32,0,1081,307,68,1,29,164,4,4,,,,,248,310,261,7.37,,744,281,60,5,No,No,Ivy,1,0
Creighton,47,25,22,0,1167,298,37,7,22,189,43,7,,,,,308,182,154,3.5,,924,274,48,12,No,No,Big East,1,0
CSU Bakersfield,48,16,32,0,1228,303,41,9,7,133,36,8,,,,,313,222,162,3.62,,939,403,63,20,Auto,No,WAC,1,0
CSUN,56,34,22,0,1484,408,68,14,42,236,92,17,,,,,386.2,203,179,3.24,,1160,493,64,25,No,No,Big West,2,0
Dartmouth,42,27,15,0,1143,319,65,16,26,208,30,5,,,,,277.2,145,118,2.97,,833,257,39,14,No,No,Ivy,1,0
Dayton,48,27,20,1,1239,293,50,3,13,129,38,15,,,,,332,137,96,2.02,,995,375,52,7,No,No,Atlantic 10,1,0
Delaware,51,30,21,0,1365,399,57,12,33,255,101,20,,,,,340,199,157,3.23,,1020,388,65,18,No,No,CAA,1,1
Delaware St.,48,30,18,0,1373,454,78,10,39,315,58,6,,,,,300.1,206,151,3.52,,901,331,68,15,No,No,MEAC,1,0
DePaul,52,27,25,0,1331,379,62,7,41,246,41,12,,,,,333.2,271,236,4.95,15,1001,389,49,14,No,No,Big East,1,0
Detroit Mercy,56,17,39,0,1403,345,37,10,17,176,70,23,,,,,357.2,321,256,5.01,,1065,528,72,16,No,No,Horizon,1,0
Drake,54,30,24,0,1419,396,81,4,38,266,53,10,,,,,347,258,203,4.1,,1041,329,69,4,No,No,MVC,1,0
Drexel,55,20,35,0,1421,377,50,2,10,204,37,9,,,,,342,320,250,5.12,,1026,371,93,12,No,No,CAA,1,1
East Carolina,54,23,31,0,1412,368,64,8,33,174,21,8,,,,,353.1,268,210,4.16,,1060,392,64,9,No,No,AAC,3,0
Eastern Ill.,53,25,28,0,1341,335,49,8,28,192,80,29,,,,,347.2,211,181,3.64,,1043,413,52,15,No,No,OVC,1,0
Eastern Ky.,54,37,17,0,1436,428,83,7,28,257,96,23,,,,,365.1,162,133,2.55,,1096,408,52,20,No,No,OVC,1,0
Eastern Mich.,51,19,32,0,1343,356,69,5,23,203,42,10,,,,,330.1,282,216,4.58,,989,412,78,11,No,No,MAC,1,0
Elon,51,26,25,0,1439,404,71,12,24,242,37,10,,,,,361.2,214,167,3.23,,1085,382,71,20,No,No,CAA,1,1
ETSU,42,20,22,0,1128,307,47,3,48,167,11,3,,,,,278,196,156,3.93,15,834,271,49,15,No,No,Southern,1,0
