Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
A&M-Corpus Christi,52,14,37,1,1323,312,46,1,17,156,71,13,,,,,327.2,299,222,4.74,139,109,,983,505,81,18,No,No,Southland,1,0
Abilene Christian,49,23,26,0,1270,315,44,4,32,181,47,8,,,,,325,209,176,3.79,217,98,,975,339,55,13,No,No,Southland,1,0
Akron,48,4,43,1,1098,251,50,1,23,108,54,31,,,,,286,352,278,6.8,136,130,,858,324,80,10,No,No,MAC,1,0
Alabama,51,33,18,0,1269,350,49,10,47,244,54,12,,,,,334.2,152,119,2.49,309,203,,1004,374,49,18,At-large,No,SEC,13,9
Alabama A&M,43,22,21,0,1115,331,59,8,32,256,56,11,,,,,260.1,232,166,4.46,161,149,11,781,267,75,13,No,No,SWAC,1,0
Alabama St.,54,23,31,0,1390,401,73,13,26,261,82,15,,,,,340.2,316,245,5.03,208,197,,1022,422,95,11,No,No,SWAC,1,0
Albany (NY),46,32,14,0,1188,316,65,8,30,229,57,9,,,,,302,125,110,2.55,213,151,,906,330,36,11,Auto,No,America East,1,0
Alcorn,49,14,35,0,1183,314,46,9,10,208,39,9,,,,,285.2,318,242,5.93,168,170,,857,332,95,5,No,No,SWAC,1,0
Appalachian St.,52,17,35,0,1390,375,49,4,36,215,61,10,,,,,338.2,294,208,4.3,176,180,,1016,466,74,7,No,No,Sun Belt,2,0
Arizona,54,40,14,0,1418,426,69,7,73,278,30,4,,,,,351.1,117,94,1.87,362,108,,1054,300,39,9,At-large,No,Pac-12,7,5
Arizona St.,54,43,11,0,1418,400,69,13,60,281,25,8,,,,,367.2,107,75,1.43,405,69,,1103,332,47,13,At-large,Yes,Pac-12,7,5
Ark.-Pine Bluff,46,17,29,0,1161,289,26,13,7,186,70,15,,,,,285.2,264,202,4.95,104,118,,857,313,88,12,No,No,SWAC,1,0
Arkansas,54,39,15,0,1426,403,61,10,53,269,19,2,,,,,354.1,141,115,2.27,347,74,,1063,385,53,10,At-large,No,SEC,13,9
Army West Point,54,26,28,0,1449,384,64,12,16,206,46,9,,,,,355.1,216,158,3.11,237,168,,1066,453,72,18,No,No,Patriot,1,0
Auburn,55,40,15,0,1412,403,60,11,42,287,95,30,,,,,377.1,86,71,1.32,270,83,9,1132,512,40,24,At-large,No,SEC,13,9
Austin Peay,56,39,17,0,1481,400,65,5,51,245,102,14,,,,,379,150,122,2.25,283,73,15,1137,395,59,8,No,No,OVC,1,0
Ball St.,56,37,19,0,1462,404,78,5,57,290,37,4,235,42,11,20,369.1,171,131,2.48,328,167,,1108,405,67,9,No,No,MAC,1,0
Baylor,52,36,16,0,1375,437,53,13,33,264,56,18,143,22,13,40,342.1,147,122,2.49,334,98,8,1027,355,42,9,At-large,No,Big 12,4,1
