Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,SHO,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
A&M-Corpus Christi,51,8,43,0,1230,274,42,7,11,108,49,14,96,21,8,13,307.2,318,264,6.01,132,160,39,2,923,386,85,27,No,No,Southland,1,0
Abilene Christian,44,13,31,0,1141,300,55,8,24,170,54,15,121,33,11,32,284,234,184,4.54,84,94,29,1,852,379,69,23,No,No,Southland,1,0
Akron,46,13,31,2,1150,312,57,2,28,192,114,34,81,24,12,37,289.2,306,246,5.94,205,162,40,5,869,318,63,12,No,No,MAC,1,0
Alabama,59,52,7,0,1519,437,56,12,75,369,131,12,291,27,12,41,400.2,127,111,1.94,347,134,23,12,1202,413,42,12,At-large,Yes,SEC,13,6
Alabama A&M,42,23,19,0,1145,311,58,5,22,184,35,9,102,23,7,31,279.2,181,145,3.63,143,114,24,5,839,286,54,7,No,No,SWAC,1,0
Alabama St.,47,24,23,0,1289,395,68,12,21,246,60,13,110,36,11,14,308.2,221,151,3.42,167,173,32,3,926,396,83,12,Auto,No,SWAC,1,0
Albany (NY),43,26,17,0,1187,319,57,11,15,214,69,14,118,16,8,14,304,162,135,3.11,147,124,19,3,912,317,41,20,No,No,America East,1,0
Alcorn,37,14,23,0,962,273,49,9,7,167,39,4,119,29,12,22,236,195,135,4,138,94,26,3,708,314,76,7,No,No,SWAC,1,0
Appalachian St.,54,31,23,0,1406,339,55,3,33,221,44,10,165,15,12,37,368.1,179,147,2.79,203,139,18,9,1105,468,52,17,No,No,Sun Belt,1,0
Arizona,54,42,12,0,1431,461,68,7,99,364,13,4,184,21,12,22,343.2,103,82,1.67,358,88,18,15,1031,365,34,17,At-large,Yes,Pac-12,5,3
Arizona St.,51,33,18,0,1264,403,90,12,85,385,54,6,192,36,14,14,310.1,249,206,4.65,193,166,51,4,931,304,49,20,At-large,No,Pac-12,5,3
Ark.-Pine Bluff,38,4,34,0,866,167,29,9,5,81,19,7,65,16,0,13,217,269,208,6.71,86,70,14,1,651,259,92,6,No,No,SWAC,1,0
Arkansas,56,38,18,0,1436,418,74,5,49,281,13,2,159,56,22,21,362.1,172,103,1.99,354,72,41,12,1087,418,80,6,At-large,No,SEC,13,6
Army West Point,56,26,30,0,1483,395,65,5,18,232,66,12,143,30,14,35,370.2,209,165,3.12,232,132,30,6,1112,398,61,15,No,No,Patriot,1,0
Auburn,56,37,19,0,1441,411,70,11,61,310,67,16,170,33,15,14,363,173,135,2.6,333,131,13,12,1089,439,47,27,At-large,No,SEC,13,6
Austin Peay,55,33,22,0,1503,437,76,9,61,277,50,4,146,26,7,15,360,168,134,2.61,327,83,21,8,1080,368,54,19,No,No,OVC,1,0
Ball St.,54,34,20,0,1397,340,78,8,60,273,43,11,229,44,12,14,360,201,145,2.82,313,165,52,10,1080,483,80,19,No,No,MAC,1,0
Baylor,49,18,31,0,1237,301,38,2,21,143,41,12,136,18,10,28,326.2,237,185,3.96,221,165,19,3,980,383,56,14,No,No,Big 12,4,3
Belmont,54,31,23,0,1412,410,64,10,35,279,28,9,179,26,18,14,342.2,188,153,3.13,333,141,18,9,1028,372,60,9,No,No,OVC,1,0
Bethune-Cookman,55,26,29,0,1351,327,35,6,8,203,92,18,151,44,9,35,357.1,216,162,3.17,232,145,41,10,1072,377,66,10,Auto,No,MEAC,1,0
Binghamton,48,19,29,0,1244,341,60,11,27,222,56,18,133,25,9,11,302.1,282,215,4.98,248,192,30,4,907,265,69,11,No,No,America East,1,0
Boise St.,48,34,14,0,1342,439,67,17,63,321,52,11,106,38,15,15,312,174,143,3.21,209,133,35,8,936,361,49,23,At-large,No,MWC,2,0
Boston College,53,18,35,0,1324,329,50,9,19,179,46,19,150,26,9,37,336.2,325,251,5.22,248,244,87,4,1010,409,94,21,No,No,ACC,5,1
Boston U.,55,37,18,0,1434,392,52,10,31,222,31,10,137,40,13,30,370.2,130,94,1.78,363,104,10,15,1112,416,56,10,Auto,No,Patriot,1,0
Bowling Green,51,22,29,0,1368,362,67,8,32,225,51,11,156,29,8,33,336,238,177,3.69,283,147,51,2,1008,350,80,10,No,No,MAC,1,0
Bradley,50,29,21,0,1327,391,65,11,68,293,24,4,165,36,12,8,318.1,232,172,3.78,216,147,24,2,955,403,66,11,No,No,MVC,2,0
Brown,39,12,27,0,994,226,49,5,16,122,33,8,92,28,4,15,258.2,170,147,3.98,125,106,25,2,776,311,36,10,No,No,Ivy,1,0
Bryant,45,13,32,0,1147,256,37,9,12,132,68,15,128,27,8,8,295,216,170,4.03,173,114,26,3,885,331,45,4,No,No,Northeast,1,0
Bucknell,52,28,24,0,1368,388,68,18,27,226,63,19,126,38,13,33,341,177,135,2.77,227,90,25,9,1022,420,63,17,No,No,Patriot,1,0
Buffalo,43,10,32,1,1107,267,59,4,34,164,37,11,160,30,5,11,270.1,261,192,4.97,129,88,19,0,811,382,71,11,No,No,MAC,1,0
Butler,48,16,32,0,1289,325,51,3,22,158,54,16,107,26,9,28,316,199,159,3.52,312,163,18,4,948,298,53,16,No,No,Big East,1,0
BYU,53,29,24,0,1390,389,74,6,49,253,39,8,137,31,14,32,341,198,144,2.96,234,142,16,6,1023,426,62,18,Auto,No,WCC,1,0
Cal Poly,51,11,40,0,1288,277,50,2,16,116,16,6,99,21,5,41,332,282,204,4.3,120,128,23,1,996,440,78,22,No,No,Big West,1,0
Cal St. Fullerton,54,38,16,0,1375,392,59,11,46,257,49,18,150,34,14,46,359,146,127,2.48,271,147,21,6,1077,383,36,15,Auto,No,Big West,1,0
California,55,28,27,0,1515,432,56,12,32,259,58,3,121,38,12,26,364.1,204,152,2.92,311,185,12,11,1093,396,67,12,No,No,Pac-12,5,3
California Baptist,54,21,33,0,1448,379,51,12,36,190,12,4,96,33,5,59,358.1,218,173,3.38,201,103,21,6,1075,367,68,13,No,No,WAC,1,0
Campbell,54,26,28,0,1432,409,74,11,40,267,51,14,187,33,11,21,350.1,285,212,4.24,201,123,34,5,1051,424,79,11,No,No,Big South,1,0
Canisius,45,14,31,0,1176,309,51,7,18,170,85,21,93,16,5,22,289.1,253,193,4.67,149,152,29,2,868,351,68,11,No,No,MAAC,1,0
Central Ark.,54,26,28,0,1432,418,75,8,29,261,112,15,168,30,23,22,347.2,241,182,3.66,187,141,25,6,1048,455,73,14,No,No,Southland,1,0
Central Conn. St.,41,17,24,0,1145,313,62,5,29,194,49,6,122,17,10,20,279.1,207,179,4.49,187,176,27,2,838,350,48,11,No,No,Northeast,1,0
Central Mich.,51,22,28,1,1286,326,56,14,24,193,33,13,124,27,7,34,330.2,256,224,4.74,178,145,28,1,992,351,53,17,No,No,MAC,1,0
Charleston So.,55,18,37,0,1386,345,47,8,19,172,34,9,110,39,11,49,361,267,218,4.23,224,187,32,3,1083,362,57,15,No,No,Big South,1,0
Charlotte,50,15,35,0,1313,375,72,11,33,205,9,4,142,13,5,19,308.2,339,281,6.37,155,189,33,1,926,369,65,13,No,No,C-USA,1,0
Chattanooga,52,37,15,0,1392,411,64,6,38,257,28,7,143,30,20,51,352.2,137,109,2.16,281,146,27,8,1058,423,58,9,Auto,No,Southern,1,0
Cleveland St.,49,15,34,0,1307,307,67,8,23,162,18,3,111,17,5,36,323.2,275,216,4.67,160,126,15,3,971,418,62,10,No,No,Horizon,1,0
Coastal Caro.,60,39,21,0,1482,365,67,6,87,263,38,10,189,39,8,19,392,204,179,3.2,314,169,45,10,1176,367,46,12,No,No,Big South,1,0
Col. of Charleston,56,26,30,0,1465,399,79,10,18,217,23,8,160,35,7,25,371.2,259,222,4.18,166,158,40,5,1115,426,58,22,No,No,CAA,1,0
Colgate,52,25,27,0,1366,366,79,4,31,193,18,9,112,37,5,22,336.2,249,211,4.39,109,162,28,5,1009,442,64,19,No,No,Patriot,1,0
Colorado St.,48,38,10,0,1318,431,103,14,61,322,34,1,134,32,16,21,314.1,131,109,2.43,197,126,19,12,943,394,45,24,Auto,No,MWC,2,0
Columbia,45,24,21,0,1132,315,50,14,32,214,26,11,129,22,11,37,285.1,215,164,4.02,125,109,33,5,856,392,53,15,No,No,Ivy,1,0
