Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,SHO,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,SuperRegionals,WCWS,Conference,ConfNumBids,ConfTop16
A&M-Corpus Christi,48,18,30,0,1225,311,42,8,14,177,92,12,177,31,12,33,317.2,222,168,3.7,8,194,114,46,953,357,65,12,No,No,No,Southland,1,0
Abilene Christian,47,14,33,0,1199,294,58,5,39,170,61,10,107,29,2,14,292,288,240,5.75,4,107,132,28,876,377,65,21,No,No,No,Southland,1,0
Akron,54,8,46,0,1345,289,46,7,21,141,60,17,130,31,7,34,343.2,328,244,4.97,2,237,203,51,1031,422,77,13,No,No,No,MAC,1,0
Alabama,61,52,9,0,1572,487,65,5,41,355,92,16,207,28,17,32,404.1,128,101,1.75,19,558,110,16,1213,413,54,11,Yes,Yes,Yes,SEC,12,7
Alabama A&M,30,11,19,0,745,188,32,5,14,106,20,2,48,22,5,24,187,171,113,4.23,1,112,55,10,561,237,53,3,No,No,No,SWAC,1,0
Alabama St.,48,19,29,0,1213,317,54,6,8,179,90,13,69,21,8,28,308.1,266,214,4.86,4,169,144,26,925,282,68,7,Yes,No,No,SWAC,1,0
Albany (NY),42,23,19,0,1157,335,47,10,45,228,53,10,97,26,10,8,275.2,196,155,3.94,4,212,112,36,827,299,62,7,No,No,No,America East,1,0
Alcorn,32,14,18,0,831,197,42,5,7,127,20,4,83,15,6,27,211.1,187,131,4.34,0,109,91,15,634,250,75,8,No,No,No,SWAC,1,0
Appalachian St.,46,27,19,0,1219,319,58,9,24,207,38,8,142,24,14,33,304.1,173,142,3.27,6,160,94,6,913,429,59,31,No,No,No,Sun Belt,4,0
Arizona,56,41,15,0,1461,470,64,6,96,354,27,3,178,18,10,14,344,127,109,2.22,16,277,102,35,1032,350,25,25,Yes,Yes,Yes,Pac-12,6,4
Arizona St.,49,33,16,0,1270,397,69,8,95,324,47,11,177,32,11,14,315.2,192,158,3.5,5,268,97,42,947,343,51,11,Yes,No,No,Pac-12,6,4
Ark.-Pine Bluff,31,2,29,0,734,150,26,3,9,69,20,6,59,8,3,14,187.1,237,187,6.99,0,101,132,31,562,196,40,3,No,No,No,SWAC,1,0
Arkansas,54,43,11,0,1438,375,60,3,95,292,4,2,208,57,9,23,379,154,118,2.18,11,329,88,30,1137,351,41,13,Yes,Yes,No,SEC,12,7
Army West Point,33,16,17,0,904,243,40,5,24,138,20,5,74,20,10,9,216,118,95,3.08,5,182,65,18,648,206,34,6,No,No,No,Patriot,1,0
Auburn,51,27,24,0,1271,306,41,8,22,157,69,21,96,20,11,28,347.2,126,101,2.03,8,373,118,25,1043,318,45,18,Yes,No,No,SEC,12,7
Austin Peay,43,27,16,0,1133,314,54,10,23,202,38,4,105,24,12,16,282.2,147,134,3.32,7,197,96,27,848,267,40,13,No,No,No,OVC,1,0
Ball St.,55,37,18,0,1528,503,101,16,51,355,62,19,190,45,17,11,365.2,257,215,4.12,4,288,233,37,1097,449,78,25,No,No,No,MAC,1,0
Baylor,50,27,23,0,1313,358,71,11,27,215,51,15,131,27,10,16,331.2,197,177,3.74,4,284,129,25,995,372,34,11,Yes,No,No,Big 12,5,3
Bellarmine,37,6,31,0,867,154,31,1,7,69,20,3,85,10,3,24,235,213,164,4.89,0,128,140,21,705,279,42,6,No,No,No,ASUN,2,0
Belmont,41,15,26,0,1043,246,43,12,21,131,45,3,120,18,10,5,269,210,169,4.4,3,171,108,29,807,277,47,6,No,No,No,OVC,1,0
Binghamton,25,11,14,0,613,124,20,5,9,73,34,5,51,22,7,7,167.2,90,75,3.13,1,142,68,14,503,133,21,1,No,No,No,America East,1,0
Boise St.,45,20,25,0,1171,307,49,9,31,153,44,9,92,22,8,21,297.1,166,148,3.48,4,281,96,27,889,307,30,10,No,No,No,MWC,1,0
Boston College,45,13,32,0,1132,264,45,4,17,113,21,5,105,27,6,21,296,204,160,3.78,4,181,118,52,885,412,61,8,No,No,No,ACC,5,2
Boston U.,40,36,4,0,1035,331,64,13,16,240,56,9,116,38,12,32,261,64,47,1.26,16,254,87,14,783,344,44,9,Yes,No,No,Patriot,1,0
Bowling Green,54,27,27,0,1389,368,52,5,27,187,46,7,145,19,19,51,358.2,205,172,3.36,10,404,178,39,1076,294,46,15,No,No,No,MAC,1,0
Bradley,42,20,22,0,1032,253,36,7,21,152,36,6,103,18,11,8,268.1,204,161,4.2,3,173,154,26,805,323,50,17,No,No,No,MVC,2,0
Brown,2,1,1,0,50,11,1,1,1,7,4,0,10,1,0,0,13,8,8,4.31,1,12,7,0,39,8,0,1,No,No,No,Ivy,0,0
Bryant,27,3,24,0,647,163,32,3,14,77,25,9,68,11,3,6,161.2,209,165,7.14,2,81,100,16,485,190,39,5,No,No,No,Northeast,1,0
Bucknell,30,12,17,1,781,185,29,1,17,109,18,5,80,16,6,11,198.1,111,91,3.21,2,155,61,20,595,201,28,6,No,No,No,Patriot,1,0
Buffalo,53,18,35,0,1330,319,47,3,64,224,49,11,167,51,10,10,333.2,338,282,5.92,2,195,166,36,1000,344,65,9,No,No,No,MAC,1,0
Butler,39,17,21,1,988,217,30,7,20,121,44,12,108,27,8,24,261.2,135,113,3.02,6,261,92,14,785,221,38,10,No,No,No,Big East,1,0
BYU,55,38,17,0,1432,428,70,10,86,313,65,10,148,36,10,36,354,187,151,2.99,10,301,117,29,1062,476,59,22,Yes,No,No,WCC,1,0
Cal Poly,35,13,22,0,954,277,50,5,19,144,21,3,98,25,4,15,228,197,138,4.24,1,134,88,12,684,248,57,13,No,No,No,Big West,1,0
Cal St. Fullerton,53,38,15,0,1343,440,85,7,60,308,107,19,133,29,15,15,333.2,155,131,2.75,13,230,162,32,1001,381,40,12,No,No,No,Big West,1,0
California,37,17,20,0,967,254,34,4,27,138,25,7,96,29,5,11,236.1,156,120,3.55,4,167,92,36,709,260,51,5,No,No,No,Pac-12,6,4
California Baptist,52,21,30,1,1358,331,70,5,17,160,16,6,111,22,13,38,349.2,228,193,3.86,4,233,138,25,1049,364,60,6,No,No,No,WAC,1,0
Campbell,47,28,19,0,1120,302,62,18,28,200,75,17,141,26,16,20,298.1,161,121,2.84,9,224,118,25,895,348,54,12,Yes,No,No,Big South,1,0
Canisius,36,22,14,0,988,288,46,7,15,199,100,15,131,17,5,14,238,108,89,2.62,9,192,71,17,714,246,37,8,No,No,No,MAAC,1,0
Central Ark.,56,37,19,0,1461,430,75,9,34,279,138,19,185,32,11,22,360.2,120,99,1.92,15,301,106,25,1082,444,44,13,No,No,No,Southland,1,0
Central Conn. St.,38,23,15,0,948,254,55,2,48,193,36,9,128,16,10,17,243,160,136,3.92,3,178,90,15,729,245,41,4,No,No,No,Northeast,1,0
Central Mich.,48,20,28,0,1222,332,72,4,31,222,13,9,126,25,14,36,305,275,238,5.46,2,241,132,35,915,294,43,13,No,No,No,MAC,1,0
Charleston So.,35,11,24,0,923,235,31,6,21,118,40,2,87,10,10,23,231.2,179,150,4.53,1,122,90,17,695,269,40,9,No,No,No,Big South,1,0
Charlotte,50,31,19,0,1368,402,98,11,38,269,62,13,138,41,11,7,338.1,216,164,3.39,1,231,132,22,1015,356,55,22,No,No,No,C-USA,1,0
