Team,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,SHO,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,SuperRegionals,WCWS,Conference,ConfNumBids,ConfTop16,,,,,,,,,,,,,,,,,,,
A&M-Corpus Christi,52,25,27,0,1337,331,66,8,28,216,72,11,173,21,10,43,341.2,233,188,3.85,7,208,163,31,"1,025",396,68,15,No,No,No,Southland,1,0,,,,,,,,,,,,,,,,,,,
Abilene Christian,51,25,26,0,1301,344,62,9,28,200,39,13,156,41,8,21,327.2,223,177,3.78,6,212,140,29,983,413,62,12,No,No,No,WAC,1,0,,,,,,,,,,,,,,,,,,,
Akron,50,18,32,0,1285,311,47,5,23,174,28,4,104,21,9,24,317.1,296,247,5.45,3,236,161,41,952,352,64,8,No,No,No,MAC,1,0,,,,,,,,,,,,,,,,,,,
Alabama,52,41,11,0,1308,381,67,8,49,279,56,14,185,35,15,29,342.2,131,109,2.23,13,417,128,12,"1,028",358,32,18,Yes,No,No,SEC,12,5,,,,,,,,,,,,,,,,,,,
Alabama A&M,40,16,24,0,1005,264,42,7,11,164,52,14,82,17,7,31,244.2,206,151,4.32,0,148,76,7,734,324,66,10,No,No,No,SWAC,1,0,,,,,,,,,,,,,,,,,,,
Alabama St.,55,24,31,0,1428,375,62,10,6,227,120,18,129,28,12,41,361,260,181,3.51,6,197,147,36,"1,083",376,88,18,No,No,No,SWAC,1,0,,,,,,,,,,,,,,,,,,,
Albany (NY),42,25,17,0,1123,318,62,10,29,207,75,18,94,17,10,14,283.1,168,119,2.94,2,200,115,37,853,318,65,19,No,No,No,America East,1,0,,,,,,,,,,,,,,,,,,,
Alcorn,48,16,32,0,1224,320,52,23,14,216,77,10,134,21,11,16,302,254,205,4.75,7,138,135,21,906,360,61,14,No,No,No,SWAC,1,0,,,,,,,,,,,,,,,,,,,
Appalachian St.,55,29,26,0,1472,388,58,6,53,276,44,5,222,34,11,17,358,213,168,3.28,8,253,98,42,"1,074",385,56,16,No,No,No,Sun Belt,1,0,,,,,,,,,,,,,,,,,,,
Arizona,53,33,20,0,1355,446,55,8,86,334,22,8,150,28,13,21,325.2,229,185,3.98,9,226,112,28,977,376,54,15,Yes,Yes,Yes,Pac-12,7,3,,,,,,,,,,,,,,,,,,,
Arizona St.,48,39,9,0,1204,385,76,6,94,330,32,9,177,59,14,16,303,131,106,2.45,11,249,60,30,909,323,47,14,Yes,Yes,No,Pac-12,7,3,,,,,,,,,,,,,,,,,,,
Ark.-Pine Bluff,45,6,39,0,1057,251,43,7,16,130,20,9,72,8,10,17,256.1,367,309,8.44,3,230,191,26,766,227,65,8,No,No,No,SWAC,1,0,,,,,,,,,,,,,,,,,,,
Arkansas,53,44,9,0,1374,463,69,6,102,388,38,8,188,57,16,17,341.2,168,137,2.81,12,366,112,30,"1,025",298,38,10,Yes,Yes,No,SEC,12,5,,,,,,,,,,,,,,,,,,,
Army West Point,54,20,34,0,1427,341,69,5,17,172,44,11,91,21,12,17,353,244,172,3.41,6,220,114,16,"1,059",387,80,15,No,No,No,Patriot,1,0,,,,,,,,,,,,,,,,,,,
Auburn,54,39,15,0,1367,414,79,17,84,335,66,17,155,30,16,19,344.2,162,130,2.64,12,448,101,27,"1,034",279,51,12,Yes,No,No,SEC,12,5,,,,,,,,,,,,,,,,,,,
Austin Peay,53,30,23,0,1457,426,56,13,34,227,39,8,118,29,16,16,352.1,214,173,3.44,4,202,124,27,"1,057",442,57,19,No,No,No,OVC,1,0,,,,,,,,,,,,,,,,,,,
Ball St.,53,22,31,0,1411,388,64,7,53,247,73,15,147,34,14,24,344.2,288,221,4.49,5,242,219,41,"1,034",466,73,29,No,No,No,MAC,1,0,,,,,,,,,,,,,,,,,,,
Baylor,52,28,24,0,1340,373,60,11,14,227,73,17,152,33,7,22,346.2,201,144,2.91,11,327,139,24,"1,041",416,59,11,No,No,No,Big 12,3,2,,,,,,,,,,,,,,,,,,,
Bellarmine,51,10,41,0,1224,246,41,2,18,105,28,6,111,13,11,18,315,296,262,5.82,2,145,186,32,945,420,48,17,No,No,No,ASUN,1,0,,,,,,,,,,,,,,,,,,,
Belmont,50,33,17,0,1333,398,61,9,30,273,98,19,139,20,10,12,323.2,176,143,3.09,8,238,75,22,971,271,45,3,No,No,No,OVC,1,0,,,,,,,,,,,,,,,,,,,
Bethune-Cookman,50,24,26,0,1262,306,22,3,2,140,52,22,90,25,9,40,332.1,178,130,2.74,8,248,104,25,997,301,66,10,No,No,No,SWAC,1,0,,,,,,,,,,,,,,,,,,,
Binghamton,45,22,23,0,1185,293,54,9,30,175,40,14,98,24,16,16,300.1,172,141,3.29,4,238,89,17,901,274,60,15,No,No,No,America East,1,0,,,,,,,,,,,,,,,,,,,
Boise St.,50,40,10,0,1375,434,90,9,74,354,32,8,159,56,14,17,328,134,127,2.71,12,335,132,21,984,394,24,26,No,No,No,MWC,1,0,,,,,,,,,,,,,,,,,,,
Boston College,47,20,27,0,1230,311,62,9,29,152,40,9,90,28,8,11,309.2,202,173,3.91,6,250,155,45,929,368,49,16,No,No,No,ACC,7,4,,,,,,,,,,,,,,,,,,,
Boston U.,57,40,17,0,1536,469,81,21,27,302,63,13,146,47,20,42,375.1,140,110,2.05,15,319,104,15,"1,126",478,46,20,No,No,No,Patriot,1,0,,,,,,,,,,,,,,,,,,,
Bowling Green,51,32,19,0,1328,334,48,4,29,196,55,11,155,26,11,33,348.1,156,129,2.59,10,418,92,40,"1,045",215,53,5,No,No,No,MAC,1,0,,,,,,,,,,,,,,,,,,,
Bradley,52,26,26,0,1353,371,71,12,33,228,66,9,125,34,17,10,329.2,230,195,4.14,1,190,172,25,989,478,45,23,No,No,No,MVC,1,0,,,,,,,,,,,,,,,,,,,
Brown,41,16,25,0,1064,241,47,6,15,146,42,8,96,29,4,23,270.2,138,106,2.74,4,193,132,21,812,276,37,14,No,No,No,Ivy,1,0,,,,,,,,,,,,,,,,,,,
Bryant,42,15,27,0,1100,262,51,4,15,161,46,11,134,23,9,24,275.2,203,169,4.29,2,205,132,32,826,296,41,18,No,No,No,Northeast,1,0,,,,,,,,,,,,,,,,,,,
